,Precision,Recall,F1-Score
negative,0.8534883720930233,0.8554778554778555,0.8544819557625145
neutral,0.7865853658536586,0.8505494505494505,0.8173178458289335
positive,0.7857142857142857,0.6717557251908397,0.7242798353909465
